"region"	"materiale"	"behandling"	"nedstrømsløsning"	"Mengd (tonn) 2015"	"Mengd (tonn) 2016"	"Mengd (tonn) 2017"	"Mengd (tonn) 2018"	"Mengd (tonn) 2019"	"Mengd (tonn) 2020"	"Mengd (tonn) 2021"	"Mengd (tonn) 2022"	"Mengd (tonn) 2023"	"Mengd (tonn) 2024"
"EAK Landet"	"2.03 Plast"	"Deponi"	"I alt"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.03 Plast"	"Deponi"	"Henteordning"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.03 Plast"	"Deponi"	"Gjenvinningsstasjon"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.03 Plast"	"Biogassproduksjon"	"I alt"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.03 Plast"	"Biogassproduksjon"	"Henteordning"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.03 Plast"	"Biogassproduksjon"	"Gjenvinningsstasjon"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.03 Plast"	"Kompostering"	"I alt"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.03 Plast"	"Kompostering"	"Henteordning"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.03 Plast"	"Kompostering"	"Gjenvinningsstasjon"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.03 Plast"	"Annet"	"I alt"	54.0	80.3	46.3	33.4	723.1	156.0	72.0	130.0	24.0	28.0
"EAK Landet"	"2.03 Plast"	"Annet"	"Henteordning"	.	.	.	.	.	54.0	72.0	112.0	0.0	6.0
"EAK Landet"	"2.03 Plast"	"Annet"	"Gjenvinningsstasjon"	.	.	.	.	.	102.0	0.0	18.0	24.0	22.0
"EAK Landet"	"2.04 Metaller"	"i alt"	"I alt"	84388.6	89561.2	91279.1	95985.5	100312.8	109633.0	101206.0	89277.0	85655.0	85514.0
"EAK Landet"	"2.04 Metaller"	"i alt"	"Henteordning"	.	.	.	.	.	11830.0	12333.0	11363.0	8796.0	8947.0
"EAK Landet"	"2.04 Metaller"	"i alt"	"Gjenvinningsstasjon"	.	.	.	.	.	97803.0	88873.0	77914.0	76859.0	76567.0
"EAK Landet"	"2.04 Metaller"	"Materialgjenvinning"	"I alt"	84327.0	89201.1	90901.7	95942.2	100251.9	109262.0	101196.0	89204.0	85655.0	85514.0
"EAK Landet"	"2.04 Metaller"	"Materialgjenvinning"	"Henteordning"	.	.	.	.	.	11823.0	12325.0	11301.0	8796.0	8947.0
"EAK Landet"	"2.04 Metaller"	"Materialgjenvinning"	"Gjenvinningsstasjon"	.	.	.	.	.	97439.0	88871.0	77903.0	76859.0	76567.0
"EAK Landet"	"2.04 Metaller"	"Forbrenning"	"I alt"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.04 Metaller"	"Forbrenning"	"Henteordning"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.04 Metaller"	"Forbrenning"	"Gjenvinningsstasjon"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.04 Metaller"	"Deponi"	"I alt"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.04 Metaller"	"Deponi"	"Henteordning"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.04 Metaller"	"Deponi"	"Gjenvinningsstasjon"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.04 Metaller"	"Biogassproduksjon"	"I alt"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.04 Metaller"	"Biogassproduksjon"	"Henteordning"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.04 Metaller"	"Biogassproduksjon"	"Gjenvinningsstasjon"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.04 Metaller"	"Kompostering"	"I alt"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.04 Metaller"	"Kompostering"	"Henteordning"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.04 Metaller"	"Kompostering"	"Gjenvinningsstasjon"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.04 Metaller"	"Annet"	"I alt"	61.6	360.1	377.4	43.3	60.9	371.0	10.0	73.0	0.0	0.0
"EAK Landet"	"2.04 Metaller"	"Annet"	"Henteordning"	.	.	.	.	.	7.0	8.0	62.0	0.0	0.0
"EAK Landet"	"2.04 Metaller"	"Annet"	"Gjenvinningsstasjon"	.	.	.	.	.	364.0	2.0	11.0	0.0	0.0
"EAK Landet"	"2.05 EE- avfall"	"i alt"	"I alt"	47952.8	49624.6	49981.0	49725.3	49481.7	51020.0	49467.0	47628.0	46688.0	44011.0
"EAK Landet"	"2.05 EE- avfall"	"i alt"	"Henteordning"	.	.	.	.	.	1885.0	1582.0	2044.0	863.0	991.0
"EAK Landet"	"2.05 EE- avfall"	"i alt"	"Gjenvinningsstasjon"	.	.	.	.	.	49135.0	47885.0	45584.0	45825.0	43020.0
"EAK Landet"	"2.05 EE- avfall"	"Materialgjenvinning"	"I alt"	46052.6	48334.6	49259.3	49679.5	48608.2	50634.0	49409.0	47204.0	46440.0	43723.0
"EAK Landet"	"2.05 EE- avfall"	"Materialgjenvinning"	"Henteordning"	.	.	.	.	.	1873.0	1548.0	1932.0	863.0	991.0
"EAK Landet"	"2.05 EE- avfall"	"Materialgjenvinning"	"Gjenvinningsstasjon"	.	.	.	.	.	48761.0	47861.0	45272.0	45577.0	42732.0
"EAK Landet"	"2.05 EE- avfall"	"Forbrenning"	"I alt"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.05 EE- avfall"	"Forbrenning"	"Henteordning"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.05 EE- avfall"	"Forbrenning"	"Gjenvinningsstasjon"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.05 EE- avfall"	"Deponi"	"I alt"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.05 EE- avfall"	"Deponi"	"Henteordning"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.05 EE- avfall"	"Deponi"	"Gjenvinningsstasjon"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.05 EE- avfall"	"Biogassproduksjon"	"I alt"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.05 EE- avfall"	"Biogassproduksjon"	"Henteordning"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.05 EE- avfall"	"Biogassproduksjon"	"Gjenvinningsstasjon"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.05 EE- avfall"	"Kompostering"	"I alt"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.05 EE- avfall"	"Kompostering"	"Henteordning"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.05 EE- avfall"	"Kompostering"	"Gjenvinningsstasjon"	.	.	.	.	.	.	.	.	.	.
"EAK Landet"	"2.05 EE- avfall"	"Annet"	"I alt"	1900.1	1290.0	721.7	45.8	873.5	386.0	58.0	424.0	248.0	288.0
"EAK Landet"	"2.05 EE- avfall"	"Annet"	"Henteordning"	.	.	.	.	.	12.0	34.0	112.0	0.0	0.0
"EAK Landet"	"2.05 EE- avfall"	"Annet"	"Gjenvinningsstasjon"	.	.	.	.	.	374.0	24.0	312.0	248.0	288.0
"EAK Landet"	"2.06 Matavfall"	"i alt"	"I alt"	180502.5	189313.1	191540.2	200565.1	208905.0	209949.0	212094.0	202122.0	218572.0	209643.0
"EAK Landet"	"2.06 Matavfall"	"i alt"	"Henteordning"	.	.	.	.	.	209949.0	212094.0	202122.0	218572.0	209643.0
"EAK Landet"	"2.06 Matavfall"	"i alt"	"Gjenvinningsstasjon"	.	.	.	.	.	.	.	.	.	.
