"konsumgruppe";"måned";"statistikkvariabel";"03013: Konsumprisindeks, etter konsumgruppe, måned og statistikkvariabel"
"TOTAL Totalindeks";"1988M11";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1988M11";"12-måneders endring (prosent)";6,1
"TOTAL Totalindeks";"1988M12";"Konsumprisindeks (2015=100)";55,8
"TOTAL Totalindeks";"1988M12";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"1988M12";"12-måneders endring (prosent)";5,7
"TOTAL Totalindeks";"1989M01";"Konsumprisindeks (2015=100)";56,2
"TOTAL Totalindeks";"1989M01";"Månedsendring (prosent)";0,7
"TOTAL Totalindeks";"1989M01";"12-måneders endring (prosent)";5
"TOTAL Totalindeks";"1989M02";"Konsumprisindeks (2015=100)";56,4
"TOTAL Totalindeks";"1989M02";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"1989M02";"12-måneders endring (prosent)";4,8
