"konsumgruppe";"måned";"statistikkvariabel";"03013: Konsumprisindeks, etter konsumgruppe, måned og statistikkvariabel"
"TOTAL Totalindeks";"2020M02";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"2020M02";"12-måneders endring (prosent)";0,9
"TOTAL Totalindeks";"2020M03";"Konsumprisindeks (2015=100)";111,2
"TOTAL Totalindeks";"2020M03";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2020M03";"12-måneders endring (prosent)";0,7
"TOTAL Totalindeks";"2020M04";"Konsumprisindeks (2015=100)";111,7
"TOTAL Totalindeks";"2020M04";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"2020M04";"12-måneders endring (prosent)";0,8
"TOTAL Totalindeks";"2020M05";"Konsumprisindeks (2015=100)";111,9
"TOTAL Totalindeks";"2020M05";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"2020M05";"12-måneders endring (prosent)";1,3
"TOTAL Totalindeks";"2020M06";"Konsumprisindeks (2015=100)";112,1
"TOTAL Totalindeks";"2020M06";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"2020M06";"12-måneders endring (prosent)";1,4
"TOTAL Totalindeks";"2020M07";"Konsumprisindeks (2015=100)";112,9
"TOTAL Totalindeks";"2020M07";"Månedsendring (prosent)";0,7
"TOTAL Totalindeks";"2020M07";"12-måneders endring (prosent)";1,3
"TOTAL Totalindeks";"2020M08";"Konsumprisindeks (2015=100)";112,5
"TOTAL Totalindeks";"2020M08";"Månedsendring (prosent)";-0,4
"TOTAL Totalindeks";"2020M08";"12-måneders endring (prosent)";1,7
"TOTAL Totalindeks";"2020M09";"Konsumprisindeks (2015=100)";112,9
"TOTAL Totalindeks";"2020M09";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"2020M09";"12-måneders endring (prosent)";1,6
"TOTAL Totalindeks";"2020M10";"Konsumprisindeks (2015=100)";113,2
"TOTAL Totalindeks";"2020M10";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"2020M10";"12-måneders endring (prosent)";1,7
"TOTAL Totalindeks";"2020M11";"Konsumprisindeks (2015=100)";112,4
"TOTAL Totalindeks";"2020M11";"Månedsendring (prosent)";-0,7
"TOTAL Totalindeks";"2020M11";"12-måneders endring (prosent)";0,7
"TOTAL Totalindeks";"2020M12";"Konsumprisindeks (2015=100)";112,9
"TOTAL Totalindeks";"2020M12";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"2020M12";"12-måneders endring (prosent)";1,4
"TOTAL Totalindeks";"2021M01";"Konsumprisindeks (2015=100)";114,1
"TOTAL Totalindeks";"2021M01";"Månedsendring (prosent)";1,1
"TOTAL Totalindeks";"2021M01";"12-måneders endring (prosent)";2,5
"TOTAL Totalindeks";"2021M02";"Konsumprisindeks (2015=100)";114,9
"TOTAL Totalindeks";"2021M02";"Månedsendring (prosent)";0,7
"TOTAL Totalindeks";"2021M02";"12-måneders endring (prosent)";3,3
"TOTAL Totalindeks";"2021M03";"Konsumprisindeks (2015=100)";114,6
"TOTAL Totalindeks";"2021M03";"Månedsendring (prosent)";-0,3
"TOTAL Totalindeks";"2021M03";"12-måneders endring (prosent)";3,1
"TOTAL Totalindeks";"2021M04";"Konsumprisindeks (2015=100)";115
"TOTAL Totalindeks";"2021M04";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"2021M04";"12-måneders endring (prosent)";3
"TOTAL Totalindeks";"2021M05";"Konsumprisindeks (2015=100)";114,9
"TOTAL Totalindeks";"2021M05";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"2021M05";"12-måneders endring (prosent)";2,7
"TOTAL Totalindeks";"2021M06";"Konsumprisindeks (2015=100)";115,3
"TOTAL Totalindeks";"2021M06";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"2021M06";"12-måneders endring (prosent)";2,9
"TOTAL Totalindeks";"2021M07";"Konsumprisindeks (2015=100)";116,3
"TOTAL Totalindeks";"2021M07";"Månedsendring (prosent)";0,9
"TOTAL Totalindeks";"2021M07";"12-måneders endring (prosent)";3
"TOTAL Totalindeks";"2021M08";"Konsumprisindeks (2015=100)";116,3
"TOTAL Totalindeks";"2021M08";"Månedsendring (prosent)";0
"TOTAL Totalindeks";"2021M08";"12-måneders endring (prosent)";3,4
"TOTAL Totalindeks";"2021M09";"Konsumprisindeks (2015=100)";117,5
"TOTAL Totalindeks";"2021M09";"Månedsendring (prosent)";1
"TOTAL Totalindeks";"2021M09";"12-måneders endring (prosent)";4,1
"TOTAL Totalindeks";"2021M10";"Konsumprisindeks (2015=100)";117,2
"TOTAL Totalindeks";"2021M10";"Månedsendring (prosent)";-0,3
"TOTAL Totalindeks";"2021M10";"12-måneders endring (prosent)";3,5
"TOTAL Totalindeks";"2021M11";"Konsumprisindeks (2015=100)";118,1
"TOTAL Totalindeks";"2021M11";"Månedsendring (prosent)";0,8
"TOTAL Totalindeks";"2021M11";"12-måneders endring (prosent)";5,1
"TOTAL Totalindeks";"2021M12";"Konsumprisindeks (2015=100)";118,9
"TOTAL Totalindeks";"2021M12";"Månedsendring (prosent)";0,7
"TOTAL Totalindeks";"2021M12";"12-måneders endring (prosent)";5,3
"TOTAL Totalindeks";"2022M01";"Konsumprisindeks (2015=100)";117,8
"TOTAL Totalindeks";"2022M01";"Månedsendring (prosent)";-0,9
"TOTAL Totalindeks";"2022M01";"12-måneders endring (prosent)";3,2
"TOTAL Totalindeks";"2022M02";"Konsumprisindeks (2015=100)";119,1
"TOTAL Totalindeks";"2022M02";"Månedsendring (prosent)";1,1
"TOTAL Totalindeks";"2022M02";"12-måneders endring (prosent)";3,7
"TOTAL Totalindeks";"2022M03";"Konsumprisindeks (2015=100)";119,8
"TOTAL Totalindeks";"2022M03";"Månedsendring (prosent)";0,6
"TOTAL Totalindeks";"2022M03";"12-måneders endring (prosent)";4,5
"TOTAL Totalindeks";"2022M04";"Konsumprisindeks (2015=100)";121,2
"TOTAL Totalindeks";"2022M04";"Månedsendring (prosent)";1,2
"TOTAL Totalindeks";"2022M04";"12-måneders endring (prosent)";5,4
"TOTAL Totalindeks";"2022M05";"Konsumprisindeks (2015=100)";121,5
"TOTAL Totalindeks";"2022M05";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"2022M05";"12-måneders endring (prosent)";5,7
"TOTAL Totalindeks";"2022M06";"Konsumprisindeks (2015=100)";122,6
"TOTAL Totalindeks";"2022M06";"Månedsendring (prosent)";0,9
"TOTAL Totalindeks";"2022M06";"12-måneders endring (prosent)";6,3
"TOTAL Totalindeks";"2022M07";"Konsumprisindeks (2015=100)";124,2
"TOTAL Totalindeks";"2022M07";"Månedsendring (prosent)";1,3
"TOTAL Totalindeks";"2022M07";"12-måneders endring (prosent)";6,8
"TOTAL Totalindeks";"2022M08";"Konsumprisindeks (2015=100)";123,9
"TOTAL Totalindeks";"2022M08";"Månedsendring (prosent)";-0,2
"TOTAL Totalindeks";"2022M08";"12-måneders endring (prosent)";6,5
"TOTAL Totalindeks";"2022M09";"Konsumprisindeks (2015=100)";125,6
"TOTAL Totalindeks";"2022M09";"Månedsendring (prosent)";1,4
"TOTAL Totalindeks";"2022M09";"12-måneders endring (prosent)";6,9
"TOTAL Totalindeks";"2022M10";"Konsumprisindeks (2015=100)";126
"TOTAL Totalindeks";"2022M10";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"2022M10";"12-måneders endring (prosent)";7,5
"TOTAL Totalindeks";"2022M11";"Konsumprisindeks (2015=100)";125,8
"TOTAL Totalindeks";"2022M11";"Månedsendring (prosent)";-0,2
"TOTAL Totalindeks";"2022M11";"12-måneders endring (prosent)";6,5
"TOTAL Totalindeks";"2022M12";"Konsumprisindeks (2015=100)";125,9
"TOTAL Totalindeks";"2022M12";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2022M12";"12-måneders endring (prosent)";5,9
"TOTAL Totalindeks";"2023M01";"Konsumprisindeks (2015=100)";126,1
"TOTAL Totalindeks";"2023M01";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"2023M01";"12-måneders endring (prosent)";7
"TOTAL Totalindeks";"2023M02";"Konsumprisindeks (2015=100)";126,6
"TOTAL Totalindeks";"2023M02";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"2023M02";"12-måneders endring (prosent)";6,3
"TOTAL Totalindeks";"2023M03";"Konsumprisindeks (2015=100)";127,6
"TOTAL Totalindeks";"2023M03";"Månedsendring (prosent)";0,8
"TOTAL Totalindeks";"2023M03";"12-måneders endring (prosent)";6,5
"TOTAL Totalindeks";"2023M04";"Konsumprisindeks (2015=100)";129
"TOTAL Totalindeks";"2023M04";"Månedsendring (prosent)";1,1
"TOTAL Totalindeks";"2023M04";"12-måneders endring (prosent)";6,4
"TOTAL Totalindeks";"2023M05";"Konsumprisindeks (2015=100)";129,6
"TOTAL Totalindeks";"2023M05";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"2023M05";"12-måneders endring (prosent)";6,7
"TOTAL Totalindeks";"2023M06";"Konsumprisindeks (2015=100)";130,4
"TOTAL Totalindeks";"2023M06";"Månedsendring (prosent)";0,6
"TOTAL Totalindeks";"2023M06";"12-måneders endring (prosent)";6,4
"TOTAL Totalindeks";"2023M07";"Konsumprisindeks (2015=100)";130,9
"TOTAL Totalindeks";"2023M07";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"2023M07";"12-måneders endring (prosent)";5,4
"TOTAL Totalindeks";"2023M08";"Konsumprisindeks (2015=100)";129,9
"TOTAL Totalindeks";"2023M08";"Månedsendring (prosent)";-0,8
"TOTAL Totalindeks";"2023M08";"12-måneders endring (prosent)";4,8
"TOTAL Totalindeks";"2023M09";"Konsumprisindeks (2015=100)";129,8
"TOTAL Totalindeks";"2023M09";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"2023M09";"12-måneders endring (prosent)";3,3
"TOTAL Totalindeks";"2023M10";"Konsumprisindeks (2015=100)";131,1
"TOTAL Totalindeks";"2023M10";"Månedsendring (prosent)";1
"TOTAL Totalindeks";"2023M10";"12-måneders endring (prosent)";4
"TOTAL Totalindeks";"2023M11";"Konsumprisindeks (2015=100)";131,8
"TOTAL Totalindeks";"2023M11";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"2023M11";"12-måneders endring (prosent)";4,8
"TOTAL Totalindeks";"2023M12";"Konsumprisindeks (2015=100)";131,9
"TOTAL Totalindeks";"2023M12";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2023M12";"12-måneders endring (prosent)";4,8
"TOTAL Totalindeks";"2024M01";"Konsumprisindeks (2015=100)";132
"TOTAL Totalindeks";"2024M01";"Månedsendring (prosent)";0,1
"TOTAL Totalindeks";"2024M01";"12-måneders endring (prosent)";4,7
"TOTAL Totalindeks";"2024M02";"Konsumprisindeks (2015=100)";132,3
"TOTAL Totalindeks";"2024M02";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"2024M02";"12-måneders endring (prosent)";4,5
"TOTAL Totalindeks";"2024M03";"Konsumprisindeks (2015=100)";132,6
"TOTAL Totalindeks";"2024M03";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"2024M03";"12-måneders endring (prosent)";3,9
"TOTAL Totalindeks";"2024M04";"Konsumprisindeks (2015=100)";133,7
"TOTAL Totalindeks";"2024M04";"Månedsendring (prosent)";0,8
"TOTAL Totalindeks";"2024M04";"12-måneders endring (prosent)";3,6
"TOTAL Totalindeks";"2024M05";"Konsumprisindeks (2015=100)";133,5
"TOTAL Totalindeks";"2024M05";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"2024M05";"12-måneders endring (prosent)";3
"TOTAL Totalindeks";"2024M06";"Konsumprisindeks (2015=100)";133,8
"TOTAL Totalindeks";"2024M06";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"2024M06";"12-måneders endring (prosent)";2,6
"TOTAL Totalindeks";"2024M07";"Konsumprisindeks (2015=100)";134,5
"TOTAL Totalindeks";"2024M07";"Månedsendring (prosent)";0,5
"TOTAL Totalindeks";"2024M07";"12-måneders endring (prosent)";2,8
"TOTAL Totalindeks";"2024M08";"Konsumprisindeks (2015=100)";133,3
"TOTAL Totalindeks";"2024M08";"Månedsendring (prosent)";-0,9
"TOTAL Totalindeks";"2024M08";"12-måneders endring (prosent)";2,6
"TOTAL Totalindeks";"2024M09";"Konsumprisindeks (2015=100)";133,7
"TOTAL Totalindeks";"2024M09";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"2024M09";"12-måneders endring (prosent)";3
"TOTAL Totalindeks";"2024M10";"Konsumprisindeks (2015=100)";134,5
"TOTAL Totalindeks";"2024M10";"Månedsendring (prosent)";0,6
"TOTAL Totalindeks";"2024M10";"12-måneders endring (prosent)";2,6
"TOTAL Totalindeks";"2024M11";"Konsumprisindeks (2015=100)";134,9
"TOTAL Totalindeks";"2024M11";"Månedsendring (prosent)";0,3
"TOTAL Totalindeks";"2024M11";"12-måneders endring (prosent)";2,4
"TOTAL Totalindeks";"2024M12";"Konsumprisindeks (2015=100)";134,8
"TOTAL Totalindeks";"2024M12";"Månedsendring (prosent)";-0,1
"TOTAL Totalindeks";"2024M12";"12-måneders endring (prosent)";2,2
"TOTAL Totalindeks";"2025M01";"Konsumprisindeks (2015=100)";135,1
"TOTAL Totalindeks";"2025M01";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"2025M01";"12-måneders endring (prosent)";2,3
"TOTAL Totalindeks";"2025M02";"Konsumprisindeks (2015=100)";137
"TOTAL Totalindeks";"2025M02";"Månedsendring (prosent)";1,4
"TOTAL Totalindeks";"2025M02";"12-måneders endring (prosent)";3,6
"TOTAL Totalindeks";"2025M03";"Konsumprisindeks (2015=100)";136,1
"TOTAL Totalindeks";"2025M03";"Månedsendring (prosent)";-0,7
"TOTAL Totalindeks";"2025M03";"12-måneders endring (prosent)";2,6
"TOTAL Totalindeks";"2025M04";"Konsumprisindeks (2015=100)";137
"TOTAL Totalindeks";"2025M04";"Månedsendring (prosent)";0,7
"TOTAL Totalindeks";"2025M04";"12-måneders endring (prosent)";2,5
"TOTAL Totalindeks";"2025M05";"Konsumprisindeks (2015=100)";137,5
"TOTAL Totalindeks";"2025M05";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"2025M05";"12-måneders endring (prosent)";3
"TOTAL Totalindeks";"2025M06";"Konsumprisindeks (2015=100)";137,8
"TOTAL Totalindeks";"2025M06";"Månedsendring (prosent)";0,2
"TOTAL Totalindeks";"2025M06";"12-måneders endring (prosent)";3
"TOTAL Totalindeks";"2025M07";"Konsumprisindeks (2015=100)";138,9
"TOTAL Totalindeks";"2025M07";"Månedsendring (prosent)";0,8
"TOTAL Totalindeks";"2025M07";"12-måneders endring (prosent)";3,3
"TOTAL Totalindeks";"2025M08";"Konsumprisindeks (2015=100)";138
"TOTAL Totalindeks";"2025M08";"Månedsendring (prosent)";-0,6
"TOTAL Totalindeks";"2025M08";"12-måneders endring (prosent)";3,5
"TOTAL Totalindeks";"2025M09";"Konsumprisindeks (2015=100)";138,5
"TOTAL Totalindeks";"2025M09";"Månedsendring (prosent)";0,4
"TOTAL Totalindeks";"2025M09";"12-måneders endring (prosent)";3,6
