"kjønn";"alder";"type justering";"måned";"statistikkvariabel";"13760: Arbeidsstyrken, sysselsatte, arbeidsledige  og utførte ukeverk for personer 15-74 år, etter kjønn, alder, type justering, måned og statistikkvariabel"
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2009M10";"Arbeidsledige (1000 personer)";31
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2009M10";"Arbeidsstyrken i prosent av befolkningen";78,4
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2009M10";"Sysselsatte i prosent av befolkningen";76,4
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2009M10";"Arbeidsledige i prosent av arbeidsstyrken";2,6
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2009M10";"Befolkningen (1000 personer)";1492
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2009M11";"Arbeidsstyrken (1000 personer)";1177
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2009M11";"Sysselsatte (1000 personer)";1141
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2009M11";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";982
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2009M11";"Arbeidsledige (1000 personer)";36
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2009M11";"Arbeidsstyrken i prosent av befolkningen";78,7
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2009M11";"Sysselsatte i prosent av befolkningen";76,3
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2009M11";"Arbeidsledige i prosent av arbeidsstyrken";3,1
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2009M11";"Befolkningen (1000 personer)";1495
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2009M12";"Arbeidsstyrken (1000 personer)";1168
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2009M12";"Sysselsatte (1000 personer)";1137
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2009M12";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1001
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2009M12";"Arbeidsledige (1000 personer)";31
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2009M12";"Arbeidsstyrken i prosent av befolkningen";78
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2009M12";"Sysselsatte i prosent av befolkningen";75,9
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2009M12";"Arbeidsledige i prosent av arbeidsstyrken";2,7
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2009M12";"Befolkningen (1000 personer)";1498
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M01";"Arbeidsstyrken (1000 personer)";1180
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M01";"Sysselsatte (1000 personer)";1145
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M01";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";985
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M01";"Arbeidsledige (1000 personer)";35
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M01";"Arbeidsstyrken i prosent av befolkningen";78,7
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M01";"Sysselsatte i prosent av befolkningen";76,3
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M01";"Arbeidsledige i prosent av arbeidsstyrken";3
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M01";"Befolkningen (1000 personer)";1500
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M02";"Arbeidsstyrken (1000 personer)";1183
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M02";"Sysselsatte (1000 personer)";1145
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M02";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";987
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M02";"Arbeidsledige (1000 personer)";38
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M02";"Arbeidsstyrken i prosent av befolkningen";78,8
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M02";"Sysselsatte i prosent av befolkningen";76,3
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M02";"Arbeidsledige i prosent av arbeidsstyrken";3,2
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M02";"Befolkningen (1000 personer)";1501
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M03";"Arbeidsstyrken (1000 personer)";1180
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M03";"Sysselsatte (1000 personer)";1138
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M03";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1013
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M03";"Arbeidsledige (1000 personer)";42
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M03";"Arbeidsstyrken i prosent av befolkningen";78,5
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M03";"Sysselsatte i prosent av befolkningen";75,7
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M03";"Arbeidsledige i prosent av arbeidsstyrken";3,6
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M03";"Befolkningen (1000 personer)";1503
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M04";"Arbeidsstyrken (1000 personer)";1174
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M04";"Sysselsatte (1000 personer)";1141
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M04";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";984
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M04";"Arbeidsledige (1000 personer)";33
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M04";"Arbeidsstyrken i prosent av befolkningen";78
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M04";"Sysselsatte i prosent av befolkningen";75,8
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M04";"Arbeidsledige i prosent av arbeidsstyrken";2,8
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M04";"Befolkningen (1000 personer)";1505
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M05";"Arbeidsstyrken (1000 personer)";1181
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M05";"Sysselsatte (1000 personer)";1144
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M05";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1000
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M05";"Arbeidsledige (1000 personer)";37
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M05";"Arbeidsstyrken i prosent av befolkningen";78,4
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M05";"Sysselsatte i prosent av befolkningen";75,9
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M05";"Arbeidsledige i prosent av arbeidsstyrken";3,1
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M05";"Befolkningen (1000 personer)";1506
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M06";"Arbeidsstyrken (1000 personer)";1186
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M06";"Sysselsatte (1000 personer)";1151
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M06";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";983
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M06";"Arbeidsledige (1000 personer)";35
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M06";"Arbeidsstyrken i prosent av befolkningen";78,6
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M06";"Sysselsatte i prosent av befolkningen";76,3
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M06";"Arbeidsledige i prosent av arbeidsstyrken";3
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M06";"Befolkningen (1000 personer)";1509
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M07";"Arbeidsstyrken (1000 personer)";1195
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M07";"Sysselsatte (1000 personer)";1156
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M07";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";977
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M07";"Arbeidsledige (1000 personer)";39
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M07";"Arbeidsstyrken i prosent av befolkningen";79,1
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M07";"Sysselsatte i prosent av befolkningen";76,6
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M07";"Arbeidsledige i prosent av arbeidsstyrken";3,2
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M07";"Befolkningen (1000 personer)";1510
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M08";"Arbeidsstyrken (1000 personer)";1179
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M08";"Sysselsatte (1000 personer)";1145
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M08";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";989
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M08";"Arbeidsledige (1000 personer)";35
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M08";"Arbeidsstyrken i prosent av befolkningen";78
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M08";"Sysselsatte i prosent av befolkningen";75,7
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M08";"Arbeidsledige i prosent av arbeidsstyrken";2,9
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M08";"Befolkningen (1000 personer)";1512
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M09";"Arbeidsstyrken (1000 personer)";1185
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M09";"Sysselsatte (1000 personer)";1147
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M09";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";991
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M09";"Arbeidsledige (1000 personer)";38
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M09";"Arbeidsstyrken i prosent av befolkningen";78,2
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M09";"Sysselsatte i prosent av befolkningen";75,7
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M09";"Arbeidsledige i prosent av arbeidsstyrken";3,2
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M09";"Befolkningen (1000 personer)";1516
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M10";"Arbeidsstyrken (1000 personer)";1184
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M10";"Sysselsatte (1000 personer)";1151
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M10";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1007
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M10";"Arbeidsledige (1000 personer)";33
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M10";"Arbeidsstyrken i prosent av befolkningen";78
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M10";"Sysselsatte i prosent av befolkningen";75,9
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M10";"Arbeidsledige i prosent av arbeidsstyrken";2,8
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M10";"Befolkningen (1000 personer)";1518
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M11";"Arbeidsstyrken (1000 personer)";1187
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M11";"Sysselsatte (1000 personer)";1156
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M11";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1007
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M11";"Arbeidsledige (1000 personer)";31
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M11";"Arbeidsstyrken i prosent av befolkningen";78,1
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M11";"Sysselsatte i prosent av befolkningen";76,1
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M11";"Arbeidsledige i prosent av arbeidsstyrken";2,6
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M11";"Befolkningen (1000 personer)";1519
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M12";"Arbeidsstyrken (1000 personer)";1180
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M12";"Sysselsatte (1000 personer)";1145
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M12";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";994
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M12";"Arbeidsledige (1000 personer)";35
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M12";"Arbeidsstyrken i prosent av befolkningen";77,6
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M12";"Sysselsatte i prosent av befolkningen";75,3
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M12";"Arbeidsledige i prosent av arbeidsstyrken";3
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2010M12";"Befolkningen (1000 personer)";1521
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M01";"Arbeidsstyrken (1000 personer)";1183
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M01";"Sysselsatte (1000 personer)";1157
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M01";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";994
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M01";"Arbeidsledige (1000 personer)";26
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M01";"Arbeidsstyrken i prosent av befolkningen";77,7
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M01";"Sysselsatte i prosent av befolkningen";76
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M01";"Arbeidsledige i prosent av arbeidsstyrken";2,2
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M01";"Befolkningen (1000 personer)";1522
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M02";"Arbeidsstyrken (1000 personer)";1190
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M02";"Sysselsatte (1000 personer)";1163
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M02";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1023
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M02";"Arbeidsledige (1000 personer)";27
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M02";"Arbeidsstyrken i prosent av befolkningen";78
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M02";"Sysselsatte i prosent av befolkningen";76,2
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M02";"Arbeidsledige i prosent av arbeidsstyrken";2,3
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M02";"Befolkningen (1000 personer)";1526
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M03";"Arbeidsstyrken (1000 personer)";1187
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M03";"Sysselsatte (1000 personer)";1157
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M03";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";991
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M03";"Arbeidsledige (1000 personer)";29
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M03";"Arbeidsstyrken i prosent av befolkningen";77,6
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M03";"Sysselsatte i prosent av befolkningen";75,7
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M03";"Arbeidsledige i prosent av arbeidsstyrken";2,5
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M03";"Befolkningen (1000 personer)";1529
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M04";"Arbeidsstyrken (1000 personer)";1194
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M04";"Sysselsatte (1000 personer)";1162
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M04";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1003
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M04";"Arbeidsledige (1000 personer)";32
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M04";"Arbeidsstyrken i prosent av befolkningen";78
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M04";"Sysselsatte i prosent av befolkningen";75,9
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M04";"Arbeidsledige i prosent av arbeidsstyrken";2,7
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M04";"Befolkningen (1000 personer)";1531
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M05";"Arbeidsstyrken (1000 personer)";1200
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M05";"Sysselsatte (1000 personer)";1172
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M05";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1019
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M05";"Arbeidsledige (1000 personer)";28
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M05";"Arbeidsstyrken i prosent av befolkningen";78,2
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M05";"Sysselsatte i prosent av befolkningen";76,4
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M05";"Arbeidsledige i prosent av arbeidsstyrken";2,3
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M05";"Befolkningen (1000 personer)";1533
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M06";"Arbeidsstyrken (1000 personer)";1200
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M06";"Sysselsatte (1000 personer)";1168
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M06";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1003
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M06";"Arbeidsledige (1000 personer)";32
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M06";"Arbeidsstyrken i prosent av befolkningen";78,2
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M06";"Sysselsatte i prosent av befolkningen";76,1
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M06";"Arbeidsledige i prosent av arbeidsstyrken";2,6
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M06";"Befolkningen (1000 personer)";1535
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M07";"Arbeidsstyrken (1000 personer)";1200
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M07";"Sysselsatte (1000 personer)";1171
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M07";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";980
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M07";"Arbeidsledige (1000 personer)";29
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M07";"Arbeidsstyrken i prosent av befolkningen";78
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M07";"Sysselsatte i prosent av befolkningen";76,1
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M07";"Arbeidsledige i prosent av arbeidsstyrken";2,4
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M07";"Befolkningen (1000 personer)";1538
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M08";"Arbeidsstyrken (1000 personer)";1207
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M08";"Sysselsatte (1000 personer)";1177
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M08";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";989
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M08";"Arbeidsledige (1000 personer)";29
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M08";"Arbeidsstyrken i prosent av befolkningen";78,3
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M08";"Sysselsatte i prosent av befolkningen";76,4
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M08";"Arbeidsledige i prosent av arbeidsstyrken";2,4
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M08";"Befolkningen (1000 personer)";1541
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M09";"Arbeidsstyrken (1000 personer)";1210
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M09";"Sysselsatte (1000 personer)";1181
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M09";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1051
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M09";"Arbeidsledige (1000 personer)";29
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M09";"Arbeidsstyrken i prosent av befolkningen";78,5
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M09";"Sysselsatte i prosent av befolkningen";76,6
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M09";"Arbeidsledige i prosent av arbeidsstyrken";2,4
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M09";"Befolkningen (1000 personer)";1543
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M10";"Arbeidsstyrken (1000 personer)";1201
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M10";"Sysselsatte (1000 personer)";1170
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M10";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1030
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M10";"Arbeidsledige (1000 personer)";31
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M10";"Arbeidsstyrken i prosent av befolkningen";77,7
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M10";"Sysselsatte i prosent av befolkningen";75,7
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M10";"Arbeidsledige i prosent av arbeidsstyrken";2,6
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M10";"Befolkningen (1000 personer)";1545
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M11";"Arbeidsstyrken (1000 personer)";1208
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M11";"Sysselsatte (1000 personer)";1175
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M11";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1020
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M11";"Arbeidsledige (1000 personer)";33
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M11";"Arbeidsstyrken i prosent av befolkningen";78,1
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M11";"Sysselsatte i prosent av befolkningen";75,9
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M11";"Arbeidsledige i prosent av arbeidsstyrken";2,7
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M11";"Befolkningen (1000 personer)";1547
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M12";"Arbeidsstyrken (1000 personer)";1215
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M12";"Sysselsatte (1000 personer)";1181
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M12";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1056
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M12";"Arbeidsledige (1000 personer)";34
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M12";"Arbeidsstyrken i prosent av befolkningen";78,4
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M12";"Sysselsatte i prosent av befolkningen";76,2
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M12";"Arbeidsledige i prosent av arbeidsstyrken";2,8
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2011M12";"Befolkningen (1000 personer)";1550
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2012M01";"Arbeidsstyrken (1000 personer)";1216
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2012M01";"Sysselsatte (1000 personer)";1179
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2012M01";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1028
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2012M01";"Arbeidsledige (1000 personer)";36
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2012M01";"Arbeidsstyrken i prosent av befolkningen";78,3
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2012M01";"Sysselsatte i prosent av befolkningen";76
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2012M01";"Arbeidsledige i prosent av arbeidsstyrken";3
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2012M01";"Befolkningen (1000 personer)";1552
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2012M02";"Arbeidsstyrken (1000 personer)";1216
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2012M02";"Sysselsatte (1000 personer)";1179
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2012M02";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1027
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2012M02";"Arbeidsledige (1000 personer)";37
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2012M02";"Arbeidsstyrken i prosent av befolkningen";78,3
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2012M02";"Sysselsatte i prosent av befolkningen";75,8
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2012M02";"Arbeidsledige i prosent av arbeidsstyrken";3,1
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2012M02";"Befolkningen (1000 personer)";1554
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2012M03";"Arbeidsstyrken (1000 personer)";1214
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2012M03";"Sysselsatte (1000 personer)";1187
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2012M03";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1046
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2012M03";"Arbeidsledige (1000 personer)";27
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2012M03";"Arbeidsstyrken i prosent av befolkningen";78
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2012M03";"Sysselsatte i prosent av befolkningen";76,3
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2012M03";"Arbeidsledige i prosent av arbeidsstyrken";2,2
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2012M03";"Befolkningen (1000 personer)";1557
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2012M04";"Arbeidsstyrken (1000 personer)";1215
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2012M04";"Sysselsatte (1000 personer)";1184
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2012M04";"Utførte ukeverk (1000 ukeverk) à 37,5 timer";1038
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2012M04";"Arbeidsledige (1000 personer)";31
"1 Menn";"25-74 25-74 år";"S Sesongjustert";"2012M04";"Arbeidsstyrken i prosent av befolkningen";77,9
