"09364: Kraftpriser i sluttbrukermarkedet, etter kontraktstype, kvartal og statistikkvariabel"

"kontraktstype";"kvartal";"Kraftpris ekskl. avgifter (øre/kWh)";"Kraftpris inkl. mva (øre/kWh)";"Fordeling av kontraktstyper (prosent)"
"Kontrakter tilknyttet elspotprisen, husholdninger";"2012K4";30.5;37.2;67.8
"Kontrakter tilknyttet elspotprisen, husholdninger";"2013K1";34.4;41.9;66.9
"Kontrakter tilknyttet elspotprisen, husholdninger";"2013K2";34.2;41.7;67.4
"Kontrakter tilknyttet elspotprisen, husholdninger";"2013K3";32.5;39.6;68.1
"Kontrakter tilknyttet elspotprisen, husholdninger";"2013K4";34.3;41.8;66.0
"Kontrakter tilknyttet elspotprisen, husholdninger";"2014K1";29.3;35.7;66.1
"Kontrakter tilknyttet elspotprisen, husholdninger";"2014K2";24.0;29.2;67.1
"Kontrakter tilknyttet elspotprisen, husholdninger";"2014K3";30.3;36.9;60.2
"Kontrakter tilknyttet elspotprisen, husholdninger";"2014K4";30.4;37.0;68.3
"Kontrakter tilknyttet elspotprisen, husholdninger";"2015K1";29.1;35.5;67.7
"Kontrakter tilknyttet elspotprisen, husholdninger";"2015K2";23.5;28.7;69.2
"Kontrakter tilknyttet elspotprisen, husholdninger";"2015K3";17.2;21.0;67.6
"Kontrakter tilknyttet elspotprisen, husholdninger";"2015K4";24.2;29.6;69.3
"Kontrakter tilknyttet elspotprisen, husholdninger";"2016K1";26.9;32.8;69.9
"Kontrakter tilknyttet elspotprisen, husholdninger";"2016K2";27.4;33.4;70.7
"Kontrakter tilknyttet elspotprisen, husholdninger";"2016K3";29.1;35.5;71.5
"Kontrakter tilknyttet elspotprisen, husholdninger";"2016K4";36.6;44.6;71.3
"Kontrakter tilknyttet elspotprisen, husholdninger";"2017K1";32.1;39.2;68.0
"Kontrakter tilknyttet elspotprisen, husholdninger";"2017K2";31.8;38.7;69.2
"Kontrakter tilknyttet elspotprisen, husholdninger";"2017K3";32.3;39.4;69.6
"Kontrakter tilknyttet elspotprisen, husholdninger";"2017K4";34.9;42.6;71.8
"Kontrakter tilknyttet elspotprisen, husholdninger";"2018K1";42.2;51.5;72.3
"Kontrakter tilknyttet elspotprisen, husholdninger";"2018K2";43.6;53.2;72.1
"Kontrakter tilknyttet elspotprisen, husholdninger";"2018K3";54.3;66.3;72.4
"Kontrakter tilknyttet elspotprisen, husholdninger";"2018K4";53.1;64.9;72.2
"Kontrakter tilknyttet elspotprisen, husholdninger";"2019K1";53.1;64.8;74.7
"Kontrakter tilknyttet elspotprisen, husholdninger";"2019K2";43.8;53.5;74.7
"Kontrakter tilknyttet elspotprisen, husholdninger";"2019K3";41.0;50.1;76.0
"Kontrakter tilknyttet elspotprisen, husholdninger";"2019K4";45.3;55.2;73.7
"Kontrakter tilknyttet elspotprisen, husholdninger";"2020K1";22.9;27.9;77.1
"Kontrakter tilknyttet elspotprisen, husholdninger";"2020K2";12.3;15.1;78.2
"Kontrakter tilknyttet elspotprisen, husholdninger";"2020K3";12.2;14.9;80.1
"Kontrakter tilknyttet elspotprisen, husholdninger";"2020K4";20.2;24.7;77.1
"Kontrakter tilknyttet elspotprisen, husholdninger";"2021K1";53.8;65.7;76.1
"Kontrakter tilknyttet elspotprisen, husholdninger";"2021K2";50.3;61.4;75.7
"Kontrakter tilknyttet elspotprisen, husholdninger";"2021K3";79.4;96.9;74.1
"Kontrakter tilknyttet elspotprisen, husholdninger";"2021K4";111.4;136.0;74.5
"Kontrakter tilknyttet elspotprisen, husholdninger";"2022K1";116.4;142.1;75.9
"Kontrakter tilknyttet elspotprisen, husholdninger";"2022K2";127.3;155.4;75.1
"Kontrakter tilknyttet elspotprisen, husholdninger";"2022K3";225.3;275.0;80.1
"Kontrakter tilknyttet elspotprisen, husholdninger";"2022K4";170.6;208.2;87.4
"Kontrakter tilknyttet elspotprisen, husholdninger";"2023K1";108.5;132.4;92.1
"Kontrakter tilknyttet elspotprisen, husholdninger";"2023K2";84.4;102.8;92.1
"Kontrakter tilknyttet elspotprisen, husholdninger";"2023K3";39.2;47.8;92.9
"Variabel pris kontrakter, husholdninger";"2012K1";35.5;43.3;31.3
"Variabel pris kontrakter, husholdninger";"2012K2";28.4;34.6;29.2
"Variabel pris kontrakter, husholdninger";"2012K3";23.5;28.7;26.2
"Variabel pris kontrakter, husholdninger";"2012K4";28.8;35.1;26.0
"Variabel pris kontrakter, husholdninger";"2013K1";36.0;43.9;27.1
"Variabel pris kontrakter, husholdninger";"2013K2";35.4;43.2;27.9
"Variabel pris kontrakter, husholdninger";"2013K3";35.1;42.8;26.8
"Variabel pris kontrakter, husholdninger";"2013K4";38.3;46.7;29.7
"Variabel pris kontrakter, husholdninger";"2014K1";35.8;43.6;29.7
"Variabel pris kontrakter, husholdninger";"2014K2";31.6;38.5;28.6
"Variabel pris kontrakter, husholdninger";"2014K3";32.5;39.6;32.2
"Variabel pris kontrakter, husholdninger";"2014K4";34.7;42.3;28.5
"Variabel pris kontrakter, husholdninger";"2015K1";36.0;43.9;29.6
"Variabel pris kontrakter, husholdninger";"2015K2";31.4;38.3;28.1
"Variabel pris kontrakter, husholdninger";"2015K3";25.3;30.8;30.0
"Variabel pris kontrakter, husholdninger";"2015K4";29.5;35.9;28.6
"Variabel pris kontrakter, husholdninger";"2016K1";33.0;40.2;28.1
"Variabel pris kontrakter, husholdninger";"2016K2";32.2;39.2;27.5
"Variabel pris kontrakter, husholdninger";"2016K3";34.3;41.8;26.8
"Variabel pris kontrakter, husholdninger";"2016K4";40.6;49.5;27.0
"Variabel pris kontrakter, husholdninger";"2017K1";39.6;48.3;30.0
"Variabel pris kontrakter, husholdninger";"2017K2";36.5;44.5;29.1
"Variabel pris kontrakter, husholdninger";"2017K3";36.0;43.9;26.6
"Variabel pris kontrakter, husholdninger";"2017K4";39.0;47.6;26.5
"Variabel pris kontrakter, husholdninger";"2018K1";44.4;54.1;25.6
"Variabel pris kontrakter, husholdninger";"2018K2";48.5;59.2;25.7
"Variabel pris kontrakter, husholdninger";"2018K3";59.9;73.1;25.5
"Variabel pris kontrakter, husholdninger";"2018K4";61.2;74.7;25.4
"Variabel pris kontrakter, husholdninger";"2019K1";63.6;77.6;23.3
"Variabel pris kontrakter, husholdninger";"2019K2";52.3;63.9;23.0
"Variabel pris kontrakter, husholdninger";"2019K3";48.5;59.2;21.6
"Variabel pris kontrakter, husholdninger";"2019K4";52.6;64.2;23.9
"Variabel pris kontrakter, husholdninger";"2020K1";40.3;49.3;20.6
"Variabel pris kontrakter, husholdninger";"2020K2";22.8;27.8;19.5
"Variabel pris kontrakter, husholdninger";"2020K3";22.8;27.8;17.8
"Variabel pris kontrakter, husholdninger";"2020K4";28.5;34.8;20.9
"Variabel pris kontrakter, husholdninger";"2021K1";54.4;66.5;21.6
"Variabel pris kontrakter, husholdninger";"2021K2";55.2;67.4;21.7
"Variabel pris kontrakter, husholdninger";"2021K3";69.7;85.1;22.2
"Variabel pris kontrakter, husholdninger";"2021K4";106.0;129.5;21.9
"Variabel pris kontrakter, husholdninger";"2022K1";135.8;165.8;18.9
"Variabel pris kontrakter, husholdninger";"2022K2";141.0;172.1;17.0
"Variabel pris kontrakter, husholdninger";"2022K3";209.3;255.6;14.5
"Variabel pris kontrakter, husholdninger";"2022K4";222.7;271.9;8.0
"Variabel pris kontrakter, husholdninger";"2023K1";196.4;239.8;4.4
"Variabel pris kontrakter, husholdninger";"2023K2";120.4;146.8;4.2
"Variabel pris kontrakter, husholdninger";"2023K3";109.8;133.8;3.8
"TJENESTEYTENDE NÆRINGER";"2012K1";32.6;.;100.0
"TJENESTEYTENDE NÆRINGER";"2012K2";25.4;.;100.0
"TJENESTEYTENDE NÆRINGER";"2012K3";19.4;.;100.0
"TJENESTEYTENDE NÆRINGER";"2012K4";31.3;.;100.0
"TJENESTEYTENDE NÆRINGER";"2013K1";34.1;.;100.0
