"03024: Eksport av oppalen laks, etter varegruppe, uke og statistikkvariabel"

"varegruppe";"uke";"Vekt (tonn)";"Kilopris (kr)"
"Fersk oppalen laks";"2008U26";9400;25.98
"Fersk oppalen laks";"2008U27";9692;26.49
"Fersk oppalen laks";"2008U28";9244;29.05
"Fersk oppalen laks";"2008U29";8921;29.81
"Fersk oppalen laks";"2008U30";7698;29.41
"Fersk oppalen laks";"2008U31";8191;28.59
"Fersk oppalen laks";"2008U32";8494;29.85
"Fersk oppalen laks";"2008U33";8681;30.21
"Fersk oppalen laks";"2008U34";9420;28.10
"Fersk oppalen laks";"2008U35";8947;26.45
"Fersk oppalen laks";"2008U36";9287;27.99
"Fersk oppalen laks";"2008U37";10043;29.94
"Fersk oppalen laks";"2008U38";9953;28.10
"Fersk oppalen laks";"2008U39";10136;26.98
"Fersk oppalen laks";"2008U40";10235;26.32
"Fersk oppalen laks";"2008U41";10027;26.79
"Fersk oppalen laks";"2008U42";10137;27.15
"Fersk oppalen laks";"2008U43";11187;26.61
"Fersk oppalen laks";"2008U44";10383;27.46
"Fersk oppalen laks";"2008U45";11321;26.06
"Fersk oppalen laks";"2008U46";12023;25.24
"Fersk oppalen laks";"2008U47";11824;26.05
"Fersk oppalen laks";"2008U48";13752;28.01
"Fersk oppalen laks";"2008U49";13907;27.37
"Fersk oppalen laks";"2008U50";14658;26.08
"Fersk oppalen laks";"2008U51";14634;26.83
"Fersk oppalen laks";"2008U52";5353;29.95
"Fersk oppalen laks";"2009U01";5603;31.42
"Fersk oppalen laks";"2009U02";11607;29.64
"Fersk oppalen laks";"2009U03";9512;27.44
"Fersk oppalen laks";"2009U04";9537;27.92
"Fersk oppalen laks";"2009U05";9775;28.60
"Fersk oppalen laks";"2009U06";8558;28.16
"Fersk oppalen laks";"2009U07";9227;27.65
"Fersk oppalen laks";"2009U08";9146;27.49
"Fersk oppalen laks";"2009U09";9673;29.79
"Fersk oppalen laks";"2009U10";10225;29.08
"Fersk oppalen laks";"2009U11";10794;30.94
"Fersk oppalen laks";"2009U12";10646;31.28
"Fersk oppalen laks";"2009U13";10545;30.10
"Fersk oppalen laks";"2009U14";12375;30.05
"Fersk oppalen laks";"2009U15";7742;33.70
"Fersk oppalen laks";"2009U16";9269;32.40
"Fersk oppalen laks";"2009U17";11134;31.56
"Fersk oppalen laks";"2009U18";9588;32.62
"Fersk oppalen laks";"2009U19";10890;33.70
"Fersk oppalen laks";"2009U20";10061;34.16
"Fersk oppalen laks";"2009U21";10244;37.34
"Fersk oppalen laks";"2009U22";11275;35.55
"Fersk oppalen laks";"2009U23";9428;33.15
"Fersk oppalen laks";"2009U24";10301;35.03
"Fersk oppalen laks";"2009U25";11039;36.76
"Fersk oppalen laks";"2009U26";10779;35.73
"Fersk oppalen laks";"2009U27";10580;36.10
"Fersk oppalen laks";"2009U28";9215;36.65
"Fersk oppalen laks";"2009U29";9538;38.36
"Fersk oppalen laks";"2009U30";9717;37.97
"Fersk oppalen laks";"2009U31";9966;34.21
"Fersk oppalen laks";"2009U32";10678;31.32
"Fersk oppalen laks";"2009U33";10821;30.44
"Fersk oppalen laks";"2009U34";10898;30.32
"Fersk oppalen laks";"2009U35";11458;29.10
"Fersk oppalen laks";"2009U36";11090;29.83
"Fersk oppalen laks";"2009U37";12080;30.91
"Fersk oppalen laks";"2009U38";10904;29.76
"Fersk oppalen laks";"2009U39";12990;28.31
"Fersk oppalen laks";"2009U40";12325;28.47
"Fersk oppalen laks";"2009U41";12257;27.90
"Fersk oppalen laks";"2009U42";12246;26.81
"Fersk oppalen laks";"2009U43";12351;26.07
"Fersk oppalen laks";"2009U44";12408;27.51
"Fersk oppalen laks";"2009U45";11732;27.72
